=================================================================================
BASE MODEL BAŞARILI — OPTIMAL (Kusursuz)
=================================================================================

Tarih | Araç Türü | Hat | Kapasite (Desi) | Maliyet
14_Mayis | Spot Kamyon | Manisa-Mersin | 12000 Desi | 21603 TL
15_Mayis | Spot Kamyon | Manisa-Mersin | 12000 Desi | 21603 TL
16_Mayis | Spot Kamyonet | Manisa-Mersin | 5600 Desi | 16720 TL
17_Mayis | Spot Kamyonet | Manisa-Mersin | 5600 Desi | 16720 TL
11_Mayis | Spot Kamyon | Manisa-Sivas | 12000 Desi | 25184 TL
12_Mayis | Spot Kamyonet | Manisa-Sivas | 5600 Desi | 19789 TL
13_Mayis | Spot Kamyonet | Manisa-Sivas | 5600 Desi | 19789 TL
14_Mayis | Spot Kamyonet | Manisa-Sivas | 5600 Desi | 19789 TL
15_Mayis | Spot Kamyonet | Manisa-Sivas | 5600 Desi | 19789 TL
16_Mayis | Spot Kamyonet | Manisa-Sivas | 5600 Desi | 19789 TL
11_Mayis | Spot Kamyon | Manisa-Tekirdağ | 12000 Desi | 13148 TL
11_Mayis | Spot Kamyon | Manisa-Tekirdağ | 12000 Desi | 13148 TL
12_Mayis | Spot Tir | Manisa-Tekirdağ | 22400 Desi | 18260 TL
13_Mayis | Spot Tir | Manisa-Tekirdağ | 22400 Desi | 18260 TL
14_Mayis | Spot Tir | Manisa-Tekirdağ | 22400 Desi | 18260 TL
15_Mayis | Spot Kamyon | Manisa-Tekirdağ | 12000 Desi | 13148 TL
16_Mayis | Spot Kamyon | Manisa-Tekirdağ | 12000 Desi | 13148 TL
17_Mayis | Spot Kamyonet | Manisa-Tekirdağ | 5600 Desi | 9473 TL
11_Mayis | Spot Tir | Manisa-Yalova | 22400 Desi | 18580 TL
11_Mayis | Spot Kamyon | Manisa-Yalova | 12000 Desi | 13418 TL
12_Mayis | Spot Tir | Manisa-Yalova | 22400 Desi | 18580 TL
12_Mayis | Spot Kamyonet | Manisa-Yalova | 5600 Desi | 9704 TL
13_Mayis | Spot Kamyon | Manisa-Yalova | 12000 Desi | 13418 TL
13_Mayis | Spot Kamyon | Manisa-Yalova | 12000 Desi | 13418 TL
14_Mayis | Spot Tir | Manisa-Yalova | 22400 Desi | 18580 TL
15_Mayis | Spot Tir | Manisa-Yalova | 22400 Desi | 18580 TL
16_Mayis | Spot Kamyon | Manisa-Yalova | 12000 Desi | 13418 TL
17_Mayis | Spot Kamyonet | Manisa-Yalova | 5600 Desi | 9704 TL
11_Mayis | Spot Tir | Manisa-İstanbul | 22400 Desi | 19119 TL
12_Mayis | Spot Tir | Manisa-İstanbul | 22400 Desi | 19119 TL
13_Mayis | Spot Tir | Manisa-İstanbul | 22400 Desi | 19119 TL
14_Mayis | Spot Kamyon | Manisa-İstanbul | 12000 Desi | 13870 TL
15_Mayis | Spot Kamyon | Manisa-İstanbul | 12000 Desi | 13870 TL
16_Mayis | Spot Kamyon | Manisa-İstanbul | 12000 Desi | 13870 TL
17_Mayis | Spot Kamyonet | Manisa-İstanbul | 5600 Desi | 10092 TL
11_Mayis | Spot Kamyonet | Mersin-Eskişehir | 5600 Desi | 13536 TL
12_Mayis | Spot Kamyonet | Mersin-Eskişehir | 5600 Desi | 13536 TL
13_Mayis | Spot Kamyonet | Mersin-Eskişehir | 5600 Desi | 13536 TL
14_Mayis | Spot Kamyonet | Mersin-Eskişehir | 5600 Desi | 13536 TL
15_Mayis | Spot Kamyonet | Mersin-Eskişehir | 5600 Desi | 13536 TL
16_Mayis | Spot Kamyonet | Mersin-Eskişehir | 5600 Desi | 13536 TL
11_Mayis | Spot Kamyonet | Mersin-Manisa | 5600 Desi | 16720 TL
12_Mayis | Spot Kamyonet | Mersin-Manisa | 5600 Desi | 16720 TL
13_Mayis | Spot Kamyonet | Mersin-Manisa | 5600 Desi | 16720 TL
14_Mayis | Spot Kamyonet | Mersin-Manisa | 5600 Desi | 16720 TL
15_Mayis | Spot Kamyonet | Mersin-Manisa | 5600 Desi | 16720 TL
16_Mayis | Spot Kamyonet | Mersin-Manisa | 5600 Desi | 16720 TL
11_Mayis | Spot Kamyon | Sivas-Eskişehir | 12000 Desi | 19298 TL
12_Mayis | Spot Kamyon | Sivas-Eskişehir | 12000 Desi | 19298 TL
13_Mayis | Spot Kamyonet | Sivas-Eskişehir | 5600 Desi | 14744 TL
14_Mayis | Spot Kamyonet | Sivas-Eskişehir | 5600 Desi | 14744 TL
15_Mayis | Spot Kamyonet | Sivas-Eskişehir | 5600 Desi | 14744 TL
16_Mayis | Spot Kamyonet | Sivas-Eskişehir | 5600 Desi | 14744 TL
17_Mayis | Spot Kamyonet | Sivas-Eskişehir | 5600 Desi | 14744 TL
11_Mayis | Spot Tir | Tekirdağ-Balıkesir | 22400 Desi | 15479 TL
12_Mayis | Spot Tir | Tekirdağ-Balıkesir | 22400 Desi | 15479 TL
13_Mayis | Spot Tir | Tekirdağ-Balıkesir | 22400 Desi | 15479 TL
14_Mayis | Spot Kamyon | Tekirdağ-Balıkesir | 12000 Desi | 10812 TL
15_Mayis | Spot Kamyon | Tekirdağ-Balıkesir | 12000 Desi | 10812 TL
16_Mayis | Spot Kamyonet | Tekirdağ-Balıkesir | 5600 Desi | 7470 TL
17_Mayis | Spot Kamyonet | Tekirdağ-Balıkesir | 5600 Desi | 7470 TL
11_Mayis | Spot Kamyon | Tekirdağ-Bilecik | 12000 Desi | 12422 TL
12_Mayis | Spot Kamyon | Tekirdağ-Bilecik | 12000 Desi | 12422 TL
13_Mayis | Spot Kamyon | Tekirdağ-Bilecik | 12000 Desi | 12422 TL
14_Mayis | Spot Kamyon | Tekirdağ-Bilecik | 12000 Desi | 12422 TL
15_Mayis | Spot Kamyon | Tekirdağ-Bilecik | 12000 Desi | 12422 TL
16_Mayis | Spot Kamyonet | Tekirdağ-Bilecik | 5600 Desi | 8851 TL
17_Mayis | Spot Kamyonet | Tekirdağ-Bilecik | 5600 Desi | 8851 TL
11_Mayis | Spot Kamyonet | Tekirdağ-Denizli | 5600 Desi | 11605 TL
12_Mayis | Spot Kamyonet | Tekirdağ-Denizli | 5600 Desi | 11605 TL
13_Mayis | Spot Kamyonet | Tekirdağ-Denizli | 5600 Desi | 11605 TL
14_Mayis | Spot Kamyonet | Tekirdağ-Denizli | 5600 Desi | 11605 TL
15_Mayis | Spot Kamyonet | Tekirdağ-Denizli | 5600 Desi | 11605 TL
16_Mayis | Spot Kamyonet | Tekirdağ-Denizli | 5600 Desi | 11605 TL
11_Mayis | Spot Tir | Tekirdağ-Eskişehir | 22400 Desi | 18893 TL
12_Mayis | Spot Tir | Tekirdağ-Eskişehir | 22400 Desi | 18893 TL
13_Mayis | Spot Tir | Tekirdağ-Eskişehir | 22400 Desi | 18893 TL
14_Mayis | Spot Kamyon | Tekirdağ-Eskişehir | 12000 Desi | 13680 TL
15_Mayis | Spot Kamyon | Tekirdağ-Eskişehir | 12000 Desi | 13680 TL
16_Mayis | Spot Kamyonet | Tekirdağ-Eskişehir | 5600 Desi | 9929 TL
17_Mayis | Spot Kamyonet | Tekirdağ-Eskişehir | 5600 Desi | 9929 TL
11_Mayis | Spot Kamyon | Tekirdağ-Isparta | 12000 Desi | 16937 TL
12_Mayis | Spot Kamyonet | Tekirdağ-Isparta | 5600 Desi | 12721 TL
13_Mayis | Spot Kamyonet | Tekirdağ-Isparta | 5600 Desi | 12721 TL
14_Mayis | Spot Kamyonet | Tekirdağ-Isparta | 5600 Desi | 12721 TL
15_Mayis | Spot Kamyonet | Tekirdağ-Isparta | 5600 Desi | 12721 TL
16_Mayis | Spot Kamyonet | Tekirdağ-Isparta | 5600 Desi | 12721 TL
11_Mayis | Spot Kamyon | Tekirdağ-Karaman | 12000 Desi | 21279 TL
12_Mayis | Spot Kamyonet | Tekirdağ-Karaman | 5600 Desi | 16442 TL
13_Mayis | Spot Kamyonet | Tekirdağ-Karaman | 5600 Desi | 16442 TL
14_Mayis | Spot Kamyonet | Tekirdağ-Karaman | 5600 Desi | 16442 TL
15_Mayis | Spot Kamyonet | Tekirdağ-Karaman | 5600 Desi | 16442 TL
11_Mayis | Spot Kamyon | Tekirdağ-Kütahya | 12000 Desi | 13358 TL
12_Mayis | Spot Kamyonet | Tekirdağ-Kütahya | 5600 Desi | 9653 TL
13_Mayis | Spot Kamyonet | Tekirdağ-Kütahya | 5600 Desi | 9653 TL
14_Mayis | Spot Kamyonet | Tekirdağ-Kütahya | 5600 Desi | 9653 TL
15_Mayis | Spot Kamyonet | Tekirdağ-Kütahya | 5600 Desi | 9653 TL
16_Mayis | Spot Kamyonet | Tekirdağ-Kütahya | 5600 Desi | 9653 TL
11_Mayis | Spot Tir | Tekirdağ-Manisa | 22400 Desi | 18260 TL
12_Mayis | Spot Tir | Tekirdağ-Manisa | 22400 Desi | 18260 TL
13_Mayis | Spot Tir | Tekirdağ-Manisa | 22400 Desi | 18260 TL
14_Mayis | Spot Kamyon | Tekirdağ-Manisa | 12000 Desi | 13148 TL
15_Mayis | Spot Kamyon | Tekirdağ-Manisa | 12000 Desi | 13148 TL
16_Mayis | Spot Kamyonet | Tekirdağ-Manisa | 5600 Desi | 9473 TL
17_Mayis | Spot Kamyonet | Tekirdağ-Manisa | 5600 Desi | 9473 TL
11_Mayis | Spot Kamyon | Tekirdağ-Mersin | 12000 Desi | 23837 TL
12_Mayis | Spot Kamyon | Tekirdağ-Mersin | 12000 Desi | 23837 TL
13_Mayis | Spot Kamyon | Tekirdağ-Mersin | 12000 Desi | 23837 TL
14_Mayis | Spot Kamyon | Tekirdağ-Mersin | 12000 Desi | 23837 TL
15_Mayis | Spot Kamyonet | Tekirdağ-Mersin | 5600 Desi | 18635 TL
16_Mayis | Spot Kamyonet | Tekirdağ-Mersin | 5600 Desi | 18635 TL
17_Mayis | Spot Kamyonet | Tekirdağ-Mersin | 5600 Desi | 18635 TL
11_Mayis | Spot Tir | Tekirdağ-Yalova | 22400 Desi | 15503 TL
11_Mayis | Spot Kamyonet | Tekirdağ-Yalova | 5600 Desi | 7488 TL
12_Mayis | Spot Tir | Tekirdağ-Yalova | 22400 Desi | 15503 TL
13_Mayis | Spot Tir | Tekirdağ-Yalova | 22400 Desi | 15503 TL
14_Mayis | Spot Tir | Tekirdağ-Yalova | 22400 Desi | 15503 TL
15_Mayis | Spot Tir | Tekirdağ-Yalova | 22400 Desi | 15503 TL
16_Mayis | Spot Kamyon | Tekirdağ-Yalova | 12000 Desi | 10833 TL
17_Mayis | Spot Kamyonet | Tekirdağ-Yalova | 5600 Desi | 7488 TL
11_Mayis | Spot Kamyon | Tekirdağ-Zonguldak | 12000 Desi | 15249 TL
12_Mayis | Spot Kamyonet | Tekirdağ-Zonguldak | 5600 Desi | 11274 TL
13_Mayis | Spot Kamyonet | Tekirdağ-Zonguldak | 5600 Desi | 11274 TL
14_Mayis | Spot Kamyonet | Tekirdağ-Zonguldak | 5600 Desi | 11274 TL
15_Mayis | Spot Kamyonet | Tekirdağ-Zonguldak | 5600 Desi | 11274 TL
16_Mayis | Spot Kamyonet | Tekirdağ-Zonguldak | 5600 Desi | 11274 TL
11_Mayis | Spot Tir | Tekirdağ-İstanbul | 22400 Desi | 14778 TL
12_Mayis | Spot Tir | Tekirdağ-İstanbul | 22400 Desi | 14778 TL
13_Mayis | Spot Tir | Tekirdağ-İstanbul | 22400 Desi | 14778 TL
14_Mayis | Spot Kamyon | Tekirdağ-İstanbul | 12000 Desi | 10224 TL
15_Mayis | Spot Kamyon | Tekirdağ-İstanbul | 12000 Desi | 10224 TL
16_Mayis | Spot Kamyonet | Tekirdağ-İstanbul | 5600 Desi | 6966 TL
17_Mayis | Spot Kamyonet | Tekirdağ-İstanbul | 5600 Desi | 6966 TL
11_Mayis | Spot Kamyon | Tekirdağ-Şanlıurfa | 12000 Desi | 29934 TL
12_Mayis | Spot Kamyonet | Tekirdağ-Şanlıurfa | 5600 Desi | 23861 TL
13_Mayis | Spot Kamyonet | Tekirdağ-Şanlıurfa | 5600 Desi | 23861 TL
14_Mayis | Spot Kamyonet | Tekirdağ-Şanlıurfa | 5600 Desi | 23861 TL
15_Mayis | Spot Kamyonet | Tekirdağ-Şanlıurfa | 5600 Desi | 23861 TL
16_Mayis | Spot Kamyonet | Tekirdağ-Şanlıurfa | 5600 Desi | 23861 TL
11_Mayis | Spot Tir | Yalova-Balıkesir | 22400 Desi | 15749 TL
11_Mayis | Spot Kamyonet | Yalova-Balıkesir | 5600 Desi | 7665 TL
12_Mayis | Spot Tir | Yalova-Balıkesir | 22400 Desi | 15749 TL
13_Mayis | Spot Tir | Yalova-Balıkesir | 22400 Desi | 15749 TL
14_Mayis | Spot Tir | Yalova-Balıkesir | 22400 Desi | 15749 TL
15_Mayis | Spot Tir | Yalova-Balıkesir | 22400 Desi | 15749 TL
16_Mayis | Spot Kamyon | Yalova-Balıkesir | 12000 Desi | 11039 TL
17_Mayis | Spot Kamyonet | Yalova-Balıkesir | 5600 Desi | 7665 TL
11_Mayis | Spot Tir | Yalova-Bilecik | 22400 Desi | 13749 TL
12_Mayis | Spot Kamyon | Yalova-Bilecik | 12000 Desi | 9359 TL
13_Mayis | Spot Kamyon | Yalova-Bilecik | 12000 Desi | 9359 TL
14_Mayis | Spot Kamyon | Yalova-Bilecik | 12000 Desi | 9359 TL
15_Mayis | Spot Kamyon | Yalova-Bilecik | 12000 Desi | 9359 TL
16_Mayis | Spot Kamyonet | Yalova-Bilecik | 5600 Desi | 6225 TL
17_Mayis | Spot Kamyonet | Yalova-Bilecik | 5600 Desi | 6225 TL
11_Mayis | Spot Tir | Yalova-Eskişehir | 22400 Desi | 15302 TL
11_Mayis | Kiralık Kamyon | Yalova-Eskişehir | 12000 Desi | 6441 TL
12_Mayis | Spot Tir | Yalova-Eskişehir | 22400 Desi | 15302 TL
12_Mayis | Kiralık Kamyon | Yalova-Eskişehir | 12000 Desi | 6441 TL
13_Mayis | Spot Tir | Yalova-Eskişehir | 22400 Desi | 15302 TL
13_Mayis | Kiralık Kamyon | Yalova-Eskişehir | 12000 Desi | 6441 TL
14_Mayis | Kiralık Kamyon | Yalova-Eskişehir | 12000 Desi | 6441 TL
14_Mayis | Spot Kamyon | Yalova-Eskişehir | 12000 Desi | 10664 TL
15_Mayis | Kiralık Kamyon | Yalova-Eskişehir | 12000 Desi | 6441 TL
15_Mayis | Spot Kamyonet | Yalova-Eskişehir | 5600 Desi | 7343 TL
16_Mayis | Kiralık Kamyon | Yalova-Eskişehir | 12000 Desi | 6441 TL
17_Mayis | Kiralık Kamyon | Yalova-Eskişehir | 12000 Desi | 6441 TL
11_Mayis | Spot Kamyon | Yalova-Kütahya | 12000 Desi | 10789 TL
12_Mayis | Spot Kamyon | Yalova-Kütahya | 12000 Desi | 10789 TL
13_Mayis | Spot Kamyon | Yalova-Kütahya | 12000 Desi | 10789 TL
14_Mayis | Spot Kamyonet | Yalova-Kütahya | 5600 Desi | 7451 TL
15_Mayis | Spot Kamyonet | Yalova-Kütahya | 5600 Desi | 7451 TL
16_Mayis | Spot Kamyonet | Yalova-Kütahya | 5600 Desi | 7451 TL
17_Mayis | Spot Kamyonet | Yalova-Kütahya | 5600 Desi | 7451 TL
11_Mayis | Spot Tir | Yalova-Manisa | 22400 Desi | 18580 TL
11_Mayis | Spot Kamyonet | Yalova-Manisa | 5600 Desi | 9704 TL
12_Mayis | Spot Tir | Yalova-Manisa | 22400 Desi | 18580 TL
12_Mayis | Spot Kamyonet | Yalova-Manisa | 5600 Desi | 9704 TL
13_Mayis | Spot Kamyon | Yalova-Manisa | 12000 Desi | 13418 TL
13_Mayis | Spot Kamyon | Yalova-Manisa | 12000 Desi | 13418 TL
14_Mayis | Spot Tir | Yalova-Manisa | 22400 Desi | 18580 TL
15_Mayis | Spot Tir | Yalova-Manisa | 22400 Desi | 18580 TL
16_Mayis | Spot Kamyon | Yalova-Manisa | 12000 Desi | 13418 TL
17_Mayis | Spot Kamyonet | Yalova-Manisa | 5600 Desi | 9704 TL
11_Mayis | Spot Tir | Yalova-Mersin | 22400 Desi | 27505 TL
12_Mayis | Spot Kamyon | Yalova-Mersin | 12000 Desi | 20914 TL
13_Mayis | Spot Kamyon | Yalova-Mersin | 12000 Desi | 20914 TL
14_Mayis | Spot Kamyon | Yalova-Mersin | 12000 Desi | 20914 TL
15_Mayis | Spot Kamyon | Yalova-Mersin | 12000 Desi | 20914 TL
16_Mayis | Spot Kamyonet | Yalova-Mersin | 5600 Desi | 16130 TL
17_Mayis | Spot Kamyonet | Yalova-Mersin | 5600 Desi | 16130 TL
11_Mayis | Spot Tir | Yalova-Tekirdağ | 22400 Desi | 15503 TL
11_Mayis | Kiralık Kamyon | Yalova-Tekirdağ | 12000 Desi | 6521 TL
12_Mayis | Spot Tir | Yalova-Tekirdağ | 22400 Desi | 15503 TL
12_Mayis | Kiralık Kamyon | Yalova-Tekirdağ | 12000 Desi | 6521 TL
13_Mayis | Spot Tir | Yalova-Tekirdağ | 22400 Desi | 15503 TL
13_Mayis | Kiralık Kamyon | Yalova-Tekirdağ | 12000 Desi | 6521 TL
14_Mayis | Kiralık Kamyon | Yalova-Tekirdağ | 12000 Desi | 6521 TL
14_Mayis | Spot Kamyon | Yalova-Tekirdağ | 12000 Desi | 10833 TL
15_Mayis | Kiralık Kamyon | Yalova-Tekirdağ | 12000 Desi | 6521 TL
15_Mayis | Spot Kamyonet | Yalova-Tekirdağ | 5600 Desi | 7488 TL
16_Mayis | Kiralık Kamyon | Yalova-Tekirdağ | 12000 Desi | 6521 TL
17_Mayis | Kiralık Kamyon | Yalova-Tekirdağ | 12000 Desi | 6521 TL
11_Mayis | Spot Tir | Yalova-İstanbul | 22400 Desi | 12865 TL
11_Mayis | Spot Kamyon | Yalova-İstanbul | 12000 Desi | 8617 TL
12_Mayis | Spot Tir | Yalova-İstanbul | 22400 Desi | 12865 TL
12_Mayis | Spot Kamyonet | Yalova-İstanbul | 5600 Desi | 5589 TL
13_Mayis | Spot Tir | Yalova-İstanbul | 22400 Desi | 12865 TL
13_Mayis | Spot Kamyonet | Yalova-İstanbul | 5600 Desi | 5589 TL
14_Mayis | Spot Tir | Yalova-İstanbul | 22400 Desi | 12865 TL
15_Mayis | Spot Tir | Yalova-İstanbul | 22400 Desi | 12865 TL
16_Mayis | Spot Kamyon | Yalova-İstanbul | 12000 Desi | 8617 TL
17_Mayis | Spot Kamyonet | Yalova-İstanbul | 5600 Desi | 5589 TL
11_Mayis | Kiralık Tir | İstanbul-Balıkesir | 22400 Desi | 9306 TL
11_Mayis | Spot Tir | İstanbul-Balıkesir | 22400 Desi | 16136 TL
12_Mayis | Kiralık Tir | İstanbul-Balıkesir | 22400 Desi | 9306 TL
12_Mayis | Spot Kamyon | İstanbul-Balıkesir | 12000 Desi | 11364 TL
13_Mayis | Kiralık Tir | İstanbul-Balıkesir | 22400 Desi | 9306 TL
13_Mayis | Spot Kamyon | İstanbul-Balıkesir | 12000 Desi | 11364 TL
14_Mayis | Kiralık Tir | İstanbul-Balıkesir | 22400 Desi | 9306 TL
14_Mayis | Spot Kamyonet | İstanbul-Balıkesir | 5600 Desi | 7944 TL
15_Mayis | Kiralık Tir | İstanbul-Balıkesir | 22400 Desi | 9306 TL
15_Mayis | Spot Kamyonet | İstanbul-Balıkesir | 5600 Desi | 7944 TL
16_Mayis | Kiralık Tir | İstanbul-Balıkesir | 22400 Desi | 9306 TL
17_Mayis | Kiralık Tir | İstanbul-Balıkesir | 22400 Desi | 9306 TL
11_Mayis | Spot Tir | İstanbul-Bilecik | 22400 Desi | 14885 TL
11_Mayis | Spot Kamyonet | İstanbul-Bilecik | 5600 Desi | 7043 TL
12_Mayis | Spot Tir | İstanbul-Bilecik | 22400 Desi | 14885 TL
13_Mayis | Spot Tir | İstanbul-Bilecik | 22400 Desi | 14885 TL
14_Mayis | Spot Tir | İstanbul-Bilecik | 22400 Desi | 14885 TL
15_Mayis | Spot Tir | İstanbul-Bilecik | 22400 Desi | 14885 TL
16_Mayis | Spot Kamyon | İstanbul-Bilecik | 12000 Desi | 10313 TL
17_Mayis | Spot Kamyonet | İstanbul-Bilecik | 5600 Desi | 7043 TL
11_Mayis | Spot Kamyon | İstanbul-Denizli | 12000 Desi | 15186 TL
12_Mayis | Spot Kamyon | İstanbul-Denizli | 12000 Desi | 15186 TL
13_Mayis | Spot Kamyon | İstanbul-Denizli | 12000 Desi | 15186 TL
14_Mayis | Spot Kamyonet | İstanbul-Denizli | 5600 Desi | 11220 TL
15_Mayis | Spot Kamyonet | İstanbul-Denizli | 5600 Desi | 11220 TL
16_Mayis | Spot Kamyonet | İstanbul-Denizli | 5600 Desi | 11220 TL
17_Mayis | Spot Kamyonet | İstanbul-Denizli | 5600 Desi | 11220 TL
11_Mayis | Spot Tir | İstanbul-Erzincan | 22400 Desi | 34239 TL
12_Mayis | Spot Tir | İstanbul-Erzincan | 22400 Desi | 34239 TL
13_Mayis | Spot Tir | İstanbul-Erzincan | 22400 Desi | 34239 TL
14_Mayis | Spot Kamyon | İstanbul-Erzincan | 12000 Desi | 26571 TL
15_Mayis | Spot Kamyon | İstanbul-Erzincan | 12000 Desi | 26571 TL
16_Mayis | Spot Kamyonet | İstanbul-Erzincan | 5600 Desi | 20978 TL
17_Mayis | Spot Kamyonet | İstanbul-Erzincan | 5600 Desi | 20978 TL
11_Mayis | Kiralık Tir | İstanbul-Eskişehir | 22400 Desi | 9459 TL
11_Mayis | Kiralık Tir | İstanbul-Eskişehir | 22400 Desi | 9459 TL
12_Mayis | Kiralık Tir | İstanbul-Eskişehir | 22400 Desi | 9459 TL
12_Mayis | Kiralık Tir | İstanbul-Eskişehir | 22400 Desi | 9459 TL
13_Mayis | Kiralık Tir | İstanbul-Eskişehir | 22400 Desi | 9459 TL
13_Mayis | Kiralık Tir | İstanbul-Eskişehir | 22400 Desi | 9459 TL
14_Mayis | Kiralık Tir | İstanbul-Eskişehir | 22400 Desi | 9459 TL
14_Mayis | Kiralık Tir | İstanbul-Eskişehir | 22400 Desi | 9459 TL
15_Mayis | Kiralık Tir | İstanbul-Eskişehir | 22400 Desi | 9459 TL
15_Mayis | Kiralık Tir | İstanbul-Eskişehir | 22400 Desi | 9459 TL
16_Mayis | Kiralık Tir | İstanbul-Eskişehir | 22400 Desi | 9459 TL
16_Mayis | Kiralık Tir | İstanbul-Eskişehir | 22400 Desi | 9459 TL
17_Mayis | Kiralık Tir | İstanbul-Eskişehir | 22400 Desi | 9459 TL
17_Mayis | Kiralık Tir | İstanbul-Eskişehir | 22400 Desi | 9459 TL
11_Mayis | Spot Tir | İstanbul-Isparta | 22400 Desi | 21332 TL
12_Mayis | Spot Kamyon | İstanbul-Isparta | 12000 Desi | 15729 TL
13_Mayis | Spot Kamyon | İstanbul-Isparta | 12000 Desi | 15729 TL
14_Mayis | Spot Kamyon | İstanbul-Isparta | 12000 Desi | 15729 TL
15_Mayis | Spot Kamyon | İstanbul-Isparta | 12000 Desi | 15729 TL
16_Mayis | Spot Kamyonet | İstanbul-Isparta | 5600 Desi | 11685 TL
17_Mayis | Spot Kamyonet | İstanbul-Isparta | 5600 Desi | 11685 TL
11_Mayis | Spot Kamyon | İstanbul-Karaman | 12000 Desi | 19442 TL
12_Mayis | Spot Kamyon | İstanbul-Karaman | 12000 Desi | 19442 TL
13_Mayis | Spot Kamyon | İstanbul-Karaman | 12000 Desi | 19442 TL
14_Mayis | Spot Kamyonet | İstanbul-Karaman | 5600 Desi | 14867 TL
15_Mayis | Spot Kamyonet | İstanbul-Karaman | 5600 Desi | 14867 TL
16_Mayis | Spot Kamyonet | İstanbul-Karaman | 5600 Desi | 14867 TL
17_Mayis | Spot Kamyonet | İstanbul-Karaman | 5600 Desi | 14867 TL
11_Mayis | Spot Tir | İstanbul-Kütahya | 22400 Desi | 16611 TL
12_Mayis | Spot Tir | İstanbul-Kütahya | 22400 Desi | 16611 TL
13_Mayis | Spot Tir | İstanbul-Kütahya | 22400 Desi | 16611 TL
14_Mayis | Spot Kamyon | İstanbul-Kütahya | 12000 Desi | 11763 TL
15_Mayis | Spot Kamyon | İstanbul-Kütahya | 12000 Desi | 11763 TL
16_Mayis | Spot Kamyonet | İstanbul-Kütahya | 5600 Desi | 8286 TL
17_Mayis | Spot Kamyonet | İstanbul-Kütahya | 5600 Desi | 8286 TL
11_Mayis | Kiralık Tir | İstanbul-Manisa | 22400 Desi | 10858 TL
11_Mayis | Spot Tir | İstanbul-Manisa | 22400 Desi | 19119 TL
12_Mayis | Kiralık Tir | İstanbul-Manisa | 22400 Desi | 10858 TL
12_Mayis | Spot Kamyon | İstanbul-Manisa | 12000 Desi | 13870 TL
13_Mayis | Kiralık Tir | İstanbul-Manisa | 22400 Desi | 10858 TL
13_Mayis | Spot Kamyon | İstanbul-Manisa | 12000 Desi | 13870 TL
14_Mayis | Kiralık Tir | İstanbul-Manisa | 22400 Desi | 10858 TL
14_Mayis | Spot Kamyon | İstanbul-Manisa | 12000 Desi | 13870 TL
15_Mayis | Kiralık Tir | İstanbul-Manisa | 22400 Desi | 10858 TL
15_Mayis | Spot Kamyonet | İstanbul-Manisa | 5600 Desi | 10092 TL
16_Mayis | Kiralık Tir | İstanbul-Manisa | 22400 Desi | 10858 TL
17_Mayis | Kiralık Tir | İstanbul-Manisa | 22400 Desi | 10858 TL
11_Mayis | Spot Tir | İstanbul-Mardin | 22400 Desi | 38984 TL
12_Mayis | Spot Tir | İstanbul-Mardin | 22400 Desi | 38984 TL
13_Mayis | Spot Tir | İstanbul-Mardin | 22400 Desi | 38984 TL
14_Mayis | Spot Kamyon | İstanbul-Mardin | 12000 Desi | 30556 TL
15_Mayis | Spot Kamyon | İstanbul-Mardin | 12000 Desi | 30556 TL
16_Mayis | Spot Kamyonet | İstanbul-Mardin | 5600 Desi | 24394 TL
17_Mayis | Spot Kamyonet | İstanbul-Mardin | 5600 Desi | 24394 TL
11_Mayis | Spot Tir | İstanbul-Mersin | 22400 Desi | 28619 TL
11_Mayis | Spot Kamyon | İstanbul-Mersin | 12000 Desi | 21849 TL
12_Mayis | Spot Tir | İstanbul-Mersin | 22400 Desi | 28619 TL
12_Mayis | Spot Kamyonet | İstanbul-Mersin | 5600 Desi | 16931 TL
13_Mayis | Spot Tir | İstanbul-Mersin | 22400 Desi | 28619 TL
13_Mayis | Spot Kamyonet | İstanbul-Mersin | 5600 Desi | 16931 TL
14_Mayis | Spot Tir | İstanbul-Mersin | 22400 Desi | 28619 TL
15_Mayis | Spot Tir | İstanbul-Mersin | 22400 Desi | 28619 TL
16_Mayis | Spot Kamyon | İstanbul-Mersin | 12000 Desi | 21849 TL
17_Mayis | Spot Kamyonet | İstanbul-Mersin | 5600 Desi | 16931 TL
11_Mayis | Spot Tir | İstanbul-Sivas | 22400 Desi | 29075 TL
12_Mayis | Spot Kamyon | İstanbul-Sivas | 12000 Desi | 22233 TL
13_Mayis | Spot Kamyon | İstanbul-Sivas | 12000 Desi | 22233 TL
14_Mayis | Spot Kamyon | İstanbul-Sivas | 12000 Desi | 22233 TL
15_Mayis | Spot Kamyon | İstanbul-Sivas | 12000 Desi | 22233 TL
16_Mayis | Spot Kamyonet | İstanbul-Sivas | 5600 Desi | 17260 TL
17_Mayis | Spot Kamyonet | İstanbul-Sivas | 5600 Desi | 17260 TL
11_Mayis | Kiralık Tir | İstanbul-Tekirdağ | 22400 Desi | 8601 TL
11_Mayis | Spot Kamyon | İstanbul-Tekirdağ | 12000 Desi | 10224 TL
12_Mayis | Kiralık Tir | İstanbul-Tekirdağ | 22400 Desi | 8601 TL
12_Mayis | Spot Kamyon | İstanbul-Tekirdağ | 12000 Desi | 10224 TL
13_Mayis | Kiralık Tir | İstanbul-Tekirdağ | 22400 Desi | 8601 TL
